date,favorite_count,followers_count,friends_count,retweet_count,retweeted,tweet_id,user_id
7/18/2019 17:28,0,21057,2022,0,False,152,"3,28,63,36,254"
7/18/2019 17:27,0,212,183,0,False,153,"21,59,79,029"
7/18/2019 17:27,0,2772,24,0,False,154,"14,53,29,065"
7/18/2019 17:27,0,16,60,0,False,155,"1,65,77,62,056"
7/18/2019 17:27,0,1212,185,0,False,156,"9,96,25,70,00,00,00,00,000"
7/18/2019 17:27,0,24,198,0,False,157,"11,10,08,00,00,00,00,00,000"
7/18/2019 17:26,0,1,29,0,False,158,"8,90,88,70,00,00,00,00,000"
7/18/2019 17:26,0,26,92,0,False,159,"1,35,23,55,440"
7/18/2019 17:21,10,3510,1991,1,False,160,"6,325"
7/18/2019 17:20,0,173,1051,0,False,161,"24,72,30,597"
7/18/2019 17:20,0,6,63,0,False,162,"9,87,52,60,00,00,00,00,000"
7/18/2019 17:19,0,14,64,0,False,163,"1,32,34,82,946"
7/18/2019 17:19,0,32,9,0,False,164,"24,56,90,391"
7/18/2019 17:18,0,1,152,0,False,165,"11,34,76,00,00,00,00,00,000"
7/18/2019 17:17,1,36,222,0,False,166,"3,87,67,23,253"
7/18/2019 17:16,0,32,9,0,False,167,"24,56,90,391"
7/18/2019 17:16,0,0,0,0,False,168,"11,32,53,00,00,00,00,00,000"
7/18/2019 17:15,0,1,137,0,False,169,"8,93,38,60,00,00,00,00,000"
7/18/2019 17:15,0,23,16,0,False,170,"2,33,37,23,215"
7/18/2019 17:13,0,233,267,0,False,171,"6,90,54,488"
7/18/2019 17:12,0,32,9,0,False,172,"24,56,90,391"
7/18/2019 17:12,0,312,2910,0,False,173,"3,19,49,22,624"
7/18/2019 17:12,0,23,16,0,False,174,"2,33,37,23,215"
7/18/2019 17:10,0,83,90,0,False,175,"23,01,20,566"
7/18/2019 17:08,0,27,329,0,False,176,"23,08,40,410"
7/18/2019 17:07,0,3693,2280,0,False,177,"19,80,85,167"
7/18/2019 17:07,0,82,219,0,False,178,"6,19,59,419"
7/18/2019 17:06,0,23,16,0,False,179,"2,33,37,23,215"
7/18/2019 17:05,1,283,750,0,False,180,"8,74,12,740"
7/18/2019 17:04,0,233,267,0,False,181,"6,90,54,488"
7/18/2019 17:04,0,23,58,0,False,182,"11,28,33,00,00,00,00,00,000"
7/18/2019 17:04,0,32,9,0,False,183,"24,56,90,391"
7/18/2019 17:04,1,1677,2168,0,False,184,"9,29,91,20,00,00,00,00,000"
7/18/2019 17:04,0,209,355,0,False,185,"4,78,55,060"
7/18/2019 17:03,0,2,42,0,False,186,"11,25,04,00,00,00,00,00,000"
7/18/2019 17:03,0,233,267,0,False,187,"6,90,54,488"
7/18/2019 17:02,0,59,242,0,False,188,"13,58,61,188"
7/18/2019 17:01,0,233,267,0,False,189,"6,90,54,488"
7/18/2019 16:59,1,233,267,0,False,190,"6,90,54,488"
7/18/2019 16:58,0,29,67,0,False,191,"15,37,19,505"
7/18/2019 16:58,0,113,381,0,False,192,"10,95,75,455"
7/18/2019 16:58,0,24,198,0,False,193,"11,10,08,00,00,00,00,00,000"
7/18/2019 16:56,0,312,2910,0,False,194,"3,19,49,22,624"
7/18/2019 16:56,0,32,9,0,False,195,"24,56,90,391"
7/18/2019 16:55,0,1170,2973,0,False,196,"7,68,95,457"
7/18/2019 16:55,0,37,165,0,False,197,"91,41,98,618"
7/18/2019 16:54,0,58,280,0,False,198,"8,38,61,60,00,00,00,00,000"
7/18/2019 16:51,8,5154,867,4,False,199,"7,94,19,410"
7/18/2019 16:51,0,62,225,0,False,200,"43,42,20,183"
7/18/2019 16:47,0,48,32,0,False,201,"10,60,23,027"
7/18/2019 16:47,0,23,16,0,False,202,"2,33,37,23,215"
7/18/2019 16:47,0,30,151,0,False,203,"22,99,00,422"
7/18/2019 16:45,0,12,98,0,False,204,"25,82,58,791"
7/18/2019 16:44,0,29,67,0,False,205,"15,37,19,505"
7/18/2019 16:43,0,0,3,0,False,206,"11,51,55,00,00,00,00,00,000"
7/18/2019 16:43,0,29,67,0,False,207,"15,37,19,505"
7/18/2019 16:43,0,7,11,0,False,208,"23,98,90,544"
7/18/2019 16:42,0,2,362,0,False,209,"11,23,83,00,00,00,00,00,000"
7/18/2019 16:41,0,32,9,0,False,210,"24,56,90,391"
7/18/2019 16:40,0,0,3,0,False,211,"11,51,55,00,00,00,00,00,000"
7/18/2019 16:39,0,83,90,0,False,212,"23,01,20,566"
7/18/2019 16:39,0,7,11,0,False,213,"23,98,90,544"
7/18/2019 16:36,2,131,121,0,False,214,"2,83,94,71,248"
7/18/2019 16:35,0,161,237,0,False,215,"9,49,14,557"
7/18/2019 16:34,0,0,3,0,False,216,"11,51,55,00,00,00,00,00,000"
7/18/2019 16:34,0,120,508,0,False,217,"2,30,61,36,769"
7/18/2019 16:33,0,272,201,0,False,218,"28,25,34,137"
7/18/2019 16:33,0,773,525,0,False,219,"8,20,73,525"
7/18/2019 16:32,2,103,295,0,False,220,"3,89,40,44,592"
7/18/2019 16:32,0,120,508,0,False,221,"2,30,61,36,769"
7/18/2019 16:30,1,438,1133,0,False,222,"14,16,72,344"
7/18/2019 16:29,0,92,304,0,False,223,"10,31,95,00,00,00,00,00,000"
7/18/2019 16:29,0,0,3,0,False,224,"11,51,55,00,00,00,00,00,000"
7/18/2019 16:28,0,10972,421,0,False,225,"9,03,67,138"
7/18/2019 16:28,0,25,105,0,False,226,"10,34,91,846"
7/18/2019 16:26,0,43,56,0,False,227,"11,15,56,970"
7/18/2019 16:26,0,1170,2973,0,False,228,"7,68,95,457"
7/18/2019 16:25,0,398,692,0,False,229,"86,66,09,779"
7/18/2019 16:24,0,24,198,0,False,230,"11,10,08,00,00,00,00,00,000"
7/18/2019 16:23,0,50,82,0,False,231,"6,78,10,386"
7/18/2019 16:23,0,398,692,0,False,232,"86,66,09,779"
7/18/2019 16:22,1,3,23,0,False,233,"11,47,89,00,00,00,00,00,000"
7/18/2019 16:21,0,248,615,0,False,234,"7,52,71,80,00,00,00,00,000"
7/18/2019 16:19,0,24,198,0,False,235,"11,10,08,00,00,00,00,00,000"
7/18/2019 16:18,0,8,74,0,False,236,"8,54,41,40,00,00,00,00,000"
7/18/2019 16:18,0,24,198,0,False,237,"11,10,08,00,00,00,00,00,000"
7/18/2019 16:16,1,150,296,0,False,238,"2,16,81,31,851"
7/18/2019 16:14,0,21,104,0,False,239,"10,91,70,00,00,00,00,00,000"
7/18/2019 16:14,0,43,57,0,False,240,"1,43,77,88,503"
7/18/2019 16:11,0,7,46,0,False,241,"2,76,97,122"
7/18/2019 16:06,2,13,2,0,False,242,"10,70,57,00,00,00,00,00,000"
7/18/2019 16:01,0,32,9,0,False,243,"24,56,90,391"
7/18/2019 15:57,0,387,845,0,False,244,"6,41,25,240"
7/18/2019 15:56,1,301,474,0,False,245,"42,39,96,090"
7/18/2019 15:56,0,60,533,1,False,246,"24,20,51,162"
7/18/2019 15:55,0,31,139,0,False,247,"7,99,98,30,00,00,00,00,000"
7/18/2019 15:55,0,9,19,0,False,248,"14,79,93,892"
7/18/2019 15:55,0,27,308,0,False,249,"9,37,93,765"
7/18/2019 15:54,0,44,108,0,False,250,"38,30,38,087"
7/18/2019 15:54,0,60,533,0,False,251,"24,20,51,162"
7/18/2019 15:54,0,80,131,0,False,252,"3,90,02,597"
7/18/2019 15:53,0,67,160,0,False,253,"34,08,15,241"
7/18/2019 15:51,0,31,139,0,False,254,"7,99,98,30,00,00,00,00,000"
7/18/2019 15:51,0,213,134,0,False,255,"19,74,21,722"
7/18/2019 15:50,0,213,134,0,False,256,"19,74,21,722"
7/18/2019 15:49,0,65,94,0,False,257,"8,08,17,70,00,00,00,00,000"
7/18/2019 15:47,0,13,104,0,False,258,"7,13,72,60,00,00,00,00,000"
7/18/2019 15:45,0,44,108,0,False,259,"38,30,38,087"
7/18/2019 15:45,0,34,192,0,False,260,"2,89,40,04,955"
7/18/2019 15:45,1,24,74,0,False,261,"7,86,59,70,00,00,00,00,000"
7/18/2019 15:45,0,62,208,0,False,262,"15,79,48,213"
7/18/2019 15:45,0,2,1,0,False,263,"7,57,96,90,00,00,00,00,000"
7/18/2019 15:44,1,301,474,0,False,264,"42,39,96,090"
7/18/2019 15:44,2,27,58,0,False,265,"3,78,33,80,177"
7/18/2019 15:44,0,20,86,0,False,266,"10,43,10,00,00,00,00,00,000"
7/18/2019 15:44,0,15,83,0,False,267,"2,87,62,09,274"
7/18/2019 15:43,0,20,86,0,False,268,"10,43,10,00,00,00,00,00,000"
7/18/2019 15:41,0,65,94,0,False,269,"8,08,17,70,00,00,00,00,000"
7/18/2019 15:39,0,128,98,0,False,270,"4,46,01,75,794"
7/18/2019 15:39,0,323,538,0,False,271,"8,20,62,702"
